Name,Rate,Vote,Year,Director,Star,Summary
Lucifer,8.1,298661.0,2016–2021,,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
The Godfather,9.2,1730913.0,1972,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton","The Godfather follows Vito Corleone, Don of the Corleone family, as he passes the mantel to his unwilling son, Michael."
Only Murders in the Building,8.1,50225.0,2021,,"Steve Martin, Martin Short, Selena Gomez, Aaron Dominguez",Three strangers who share an obsession with true crime suddenly find themselves caught up in one.
Riverdale,6.7,134722.0,2017,,"Lili Reinhart, Camila Mendes, Cole Sprouse, K.J. Apa","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries."
The Wire,9.3,312355.0,2002–2008,,"Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
Power Book II: Ghost,6.9,5258.0,2020,,"Michael Rainey Jr., Method Man, Mary J. Blige, Shane Johnson",The journey of some of Power's most controversial characters.
Midsomer Murders,7.8,29687.0,1997,,"John Nettles, Jane Wymark, Barry Jackson, Neil Dudgeon",A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.
The Wolf of Wall Street,8.2,1293505.0,2013,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Fargo,8.9,352518.0,2014,,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Narcos: Mexico,8.4,76803.0,2018–2021,,"Scoot McNairy, José María Yazpik, Alejandro Edda, Alfonso Dosal",The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.
The Rookie,8.0,30546.0,2018,,"Nathan Fillion, Alyssa Diaz, Richard T. Jones, Melissa O'Neil","Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis."
The Punisher,8.5,206349.0,2017–2019,,"Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore","After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
